,weight_optimal
600019.SH,0.0033333311214716857
600016.SH,0.0033333311214716857
600009.SH,0.0033333311214716857
600011.SH,0.0033333311214716857
002459.SZ,0.0033333311214716857
002460.SZ,0.0033333311214716857
000338.SZ,0.0033333311214716857
601998.SH,0.0033333311214716857
601600.SH,0.00319098561643608
600196.SH,0.0033333311214716857
600276.SH,0.0033333311214716857
600000.SH,0.0033333311214716857
600426.SH,0.0033333311214716857
601899.SH,0.0033333311214716857
002493.SZ,0.0033333311214716857
002466.SZ,0.0033333311214716857
601888.SH,0.0033333311214716857
002410.SZ,0.0033333311214716857
601877.SH,0.0033333311214716857
300003.SZ,0.0033333311214716857
002230.SZ,0.0033333311214716857
601166.SH,0.0033333311214716857
601601.SH,0.0033333311214716857
600999.SH,0.0033333311214716857
002414.SZ,0.0033333311214716857
002179.SZ,0.0033333311214716857
601788.SH,0.0033333311214716857
002142.SZ,0.0033333311214716857
601009.SH,0.0033333311214716857
002074.SZ,0.0033333311214716857
600606.SH,0.0033333311214716857
600660.SH,0.0033333311214716857
600741.SH,0.0033333311214716857
600845.SH,0.0033333311214716857
600886.SH,0.0033333311214716857
002352.SZ,0.0033333311214716857
002252.SZ,0.0
601989.SH,0.0033333311214716857
300033.SZ,0.0033333311214716857
601857.SH,0.0033333311214716857
601186.SH,0.0033333311214716857
601939.SH,0.0033333311214716857
601318.SH,0.0033333311214716857
002129.SZ,0.0033333311214716857
601006.SH,0.0033333311214716857
002415.SZ,0.0033333311214716857
601377.SH,0.0033333311214716857
000800.SZ,0.0033333311214716857
002371.SZ,0.0033333311214716857
002241.SZ,0.0033333311214716857
002311.SZ,0.0033333311214716857
601328.SH,0.0033333311214716857
601169.SH,0.0033333311214716857
000877.SZ,0.0033333311214716857
000895.SZ,0.0033333311214716857
000938.SZ,0.0033333311214716857
600547.SH,0.0033333311214716857
600015.SH,0.0033333311214716857
600436.SH,0.0033333311214716857
600029.SH,0.0033333311214716857
600584.SH,0.0033333311214716857
600489.SH,0.0033333311214716857
601799.SH,0.0033333311214716857
000963.SZ,0.0033333311214716857
600570.SH,0.0033333311214716857
601336.SH,0.0
000425.SZ,0.0033333311214716857
300207.SZ,0.0033333311214716857
002555.SZ,0.0033333311214716857
002594.SZ,0.0033333311214716857
002602.SZ,0.0012220159364763614
601901.SH,0.0033333311214716857
002607.SZ,0.0033333311214716857
300223.SZ,0.0033333311214716857
002600.SZ,0.0005870020554095795
002601.SZ,0.0033333311214716857
601216.SH,0.0033333311214716857
002568.SZ,0.0033333311214716857
000596.SZ,0.0033333311214716857
300316.SZ,0.0033333311214716857
601633.SH,0.0033333311214716857
601669.SH,0.0033333311214716857
601100.SH,0.0033333311214716857
300274.SZ,0.0033333311214716857
000408.SZ,0.0033333311214716857
000001.SZ,0.0033333311214716857
000002.SZ,0.0033333311214716857
000063.SZ,0.0033333311214716857
000066.SZ,0.0033333311214716857
000069.SZ,0.0033333311214716857
000157.SZ,0.0033333311214716857
000301.SZ,0.0033333311214716857
000538.SZ,0.0033333311214716857
000625.SZ,0.0033333311214716857
000725.SZ,0.0033333311214716857
000568.SZ,0.0033333311214716857
601012.SH,0.0033333311214716857
601238.SH,0.0033333311214716857
601800.SH,0.0033333311214716857
002648.SZ,0.0033333311214716857
300347.SZ,0.0033333311214716857
603993.SH,0.0033333311214716857
000333.SZ,0.0033333311214716857
002709.SZ,0.0033333311214716857
002714.SZ,0.0033333311214716857
601225.SH,0.0033333311214716857
603288.SH,0.0033333311214716857
603369.SH,0.0033333311214716857
603806.SH,0.0033333311214716857
603019.SH,0.0033333311214716857
300408.SZ,0.0033333311214716857
002736.SZ,0.0033333311214716857
300413.SZ,0.0033333311214716857
601021.SH,0.0033333311214716857
000166.SZ,0.0033333311214716857
603899.SH,0.0033333311214716857
603799.SH,0.0033333311214716857
300433.SZ,0.0
600958.SH,0.0
300450.SZ,0.0033333311214716857
601985.SH,0.0033333311214716857
601211.SH,0.0033333311214716857
300498.SZ,0.0033333311214716857
601155.SH,0.0033333311214716857
300496.SZ,0.0033333311214716857
001979.SZ,0.0033333311214716857
002791.SZ,0.0033333311214716857
601966.SH,0.0033333311214716857
600919.SH,0.0033333311214716857
300529.SZ,0.0033333311214716857
603986.SH,0.0033333311214716857
002812.SZ,0.0033333311214716857
603160.SH,0.0033333311214716857
600926.SH,0.0033333311214716857
601229.SH,0.0033333311214716857
002821.SZ,0.0033333311214716857
300595.SZ,0.0033333311214716857
002841.SZ,0.0033333311214716857
601881.SH,0.0
300601.SZ,0.0033333311214716857
300628.SZ,0.0033333311214716857
603833.SH,0.0033333311214716857
603501.SH,0.0033333311214716857
300661.SZ,0.0033333311214716857
601878.SH,0.0
603882.SH,0.0033333311214716857
603260.SH,0.0033333311214716857
603659.SH,0.0033333311214716857
002916.SZ,0.0033333311214716857
600025.SH,0.0033333311214716857
002920.SZ,0.0033333311214716857
601838.SH,0.0033333311214716857
601360.SH,0.0033333311214716857
603259.SH,0.0033333311214716857
300454.SZ,0.0033333311214716857
603486.SH,0.0033333311214716857
601138.SH,0.0
300750.SZ,0.0053599953351481525
601066.SH,0.0033333311214716857
002938.SZ,0.0033333311214716857
300760.SZ,0.0033333311214716857
300751.SZ,0.0033333311214716857
601319.SH,0.0033333311214716857
603185.SH,0.0033333311214716857
300759.SZ,0.0033333311214716857
601865.SH,0.0033333311214716857
300763.SZ,0.0033333311214716857
600989.SH,0.0033333311214716857
300782.SZ,0.0033333311214716857
601698.SH,0.0033333311214716857
