日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng),权重(%)weight
20220831,000300,沪深300,CSI 300,601169,北京银行,Bank of Beijing Co Ltd,上海证券交易所,Shanghai  Exchange,0.32
20220831,000300,沪深300,CSI 300,000877,天山股份,Xinjiang Tianshan Cement Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.031
20220831,000300,沪深300,CSI 300,000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.243
20220831,000300,沪深300,CSI 300,000938,紫光股份,"Unisplendour Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.13
20220831,000300,沪深300,CSI 300,600547,山东黄金,Shandong Gold-Mining Co Ltd,上海证券交易所,Shanghai  Exchange,0.169
20220831,000300,沪深300,CSI 300,600015,华夏银行,Hua Xia Bank Co Ltd,上海证券交易所,Shanghai  Exchange,0.166
20220831,000300,沪深300,CSI 300,600436,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,上海证券交易所,Shanghai  Exchange,0.475
20220831,000300,沪深300,CSI 300,600029,南方航空,China Southern Airlines Co Ltd,上海证券交易所,Shanghai  Exchange,0.171
20220831,000300,沪深300,CSI 300,600584,长电科技,"JCET Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.185
20220831,000300,沪深300,CSI 300,600489,中金黄金,Zhongjin Gold Co Ltd,上海证券交易所,Shanghai  Exchange,0.112
20220831,000300,沪深300,CSI 300,601799,星宇股份,Changzhou Xingyu Automotive Lighting Systems Co Ltd,上海证券交易所,Shanghai  Exchange,0.105
20220831,000300,沪深300,CSI 300,000963,华东医药,Huadong Medicine Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.193
20220831,000300,沪深300,CSI 300,600570,恒生电子,Hundsun Technologies Inc.,上海证券交易所,Shanghai  Exchange,0.268
20220831,000300,沪深300,CSI 300,601336,新华保险,New China Life Insurance Co Ltd,上海证券交易所,Shanghai  Exchange,0.126
20220831,000300,沪深300,CSI 300,000425,徐工机械,XCMG Construction Machinery Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.161
20220831,000300,沪深300,CSI 300,300207,欣旺达,Sunwoda Electronic Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.172
20220831,000300,沪深300,CSI 300,002555,三七互娱,"WUHU SANQI INTERACTIVE ENTERTAINMENT NETWORK TECHNOLOGY GROUP CO.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.142
20220831,000300,沪深300,CSI 300,002594,比亚迪,BYD Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.367
20220831,000300,沪深300,CSI 300,002602,世纪华通,"ZHEJIANG CENTURY HUATONG GROUP CO., LTD",深圳证券交易所,Shenzhen  Exchange,0.107
20220831,000300,沪深300,CSI 300,601901,方正证券,Founder Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.15
20220831,000300,沪深300,CSI 300,002607,中公教育,"Offcn Education Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.044
20220831,000300,沪深300,CSI 300,300223,北京君正,Ingenic Semiconductor Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.082
20220831,000300,沪深300,CSI 300,002600,领益智造,LINGYI iTECH (GUANGDONG) COMPANY,深圳证券交易所,Shenzhen  Exchange,0.081
20220831,000300,沪深300,CSI 300,002601,龙佰集团,"LB Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.131
20220831,000300,沪深300,CSI 300,601216,君正集团,"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.077
20220831,000300,沪深300,CSI 300,002568,百润股份,"SHANGHAI BAIRUN INVESTMENT HOLDING GROUP CO.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.064
20220831,000300,沪深300,CSI 300,000596,古井贡酒,Anhui Gujing Distillery Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.218
20220831,000300,沪深300,CSI 300,300316,晶盛机电,"Zhejiang Jingsheng Mechanical & Electrical Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.256
20220831,000300,沪深300,CSI 300,601633,长城汽车,Great Wall Motor Co Ltd,上海证券交易所,Shanghai  Exchange,0.216
20220831,000300,沪深300,CSI 300,601669,中国电建,"Power Construction Corporation of China,Ltd",上海证券交易所,Shanghai  Exchange,0.309
20220831,000300,沪深300,CSI 300,601100,恒立液压,"Jiangsu Hengli Hydraulic CO., Ltd.",上海证券交易所,Shanghai  Exchange,0.134
20220831,000300,沪深300,CSI 300,300274,阳光电源,Sungrow Power Supply Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.606
20220831,000300,沪深300,CSI 300,000408,藏格矿业,ZANGGE MINING COMPANY LIMITED,深圳证券交易所,Shenzhen  Exchange,0.078
20220831,000300,沪深300,CSI 300,000001,平安银行,"Ping An Bank Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.648
20220831,000300,沪深300,CSI 300,000002,万科A,China Vanke Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.593
20220831,000300,沪深300,CSI 300,000063,中兴通讯,ZTE Corporation,深圳证券交易所,Shenzhen  Exchange,0.408
20220831,000300,沪深300,CSI 300,000066,中国长城,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.092
20220831,000300,沪深300,CSI 300,000069,华侨城A,Shenzhen Overseas Chinese Town Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.115
20220831,000300,沪深300,CSI 300,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.15
20220831,000300,沪深300,CSI 300,000301,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.18
20220831,000300,沪深300,CSI 300,000538,云南白药,"Yunnan Baiyao Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.197
20220831,000300,沪深300,CSI 300,000625,长安汽车,Chongqing Changan Automobile Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.378
20220831,000300,沪深300,CSI 300,000725,京东方A,BOE Technology Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.727
20220831,000300,沪深300,CSI 300,000568,泸州老窖,Luzhou Lao Jiao Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.902
20220831,000300,沪深300,CSI 300,601012,隆基绿能,"Longi Green Energy Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.625
20220831,000300,沪深300,CSI 300,601238,广汽集团,"Guangzhou Automobile Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.161
20220831,000300,沪深300,CSI 300,601800,中国交建,China Communications Construction Company Limited,上海证券交易所,Shanghai  Exchange,0.148
20220831,000300,沪深300,CSI 300,002648,卫星化学,"SATELLITE CHEMICAL CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.138
20220831,000300,沪深300,CSI 300,300347,泰格医药,"Hangzhou Tigermed Consulting Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.298
20220831,000300,沪深300,CSI 300,603993,洛阳钼业,"China Molybdenum Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.182
20220831,000300,沪深300,CSI 300,000333,美的集团,"Midea Group CO., LTD",深圳证券交易所,Shenzhen  Exchange,1.365
20220831,000300,沪深300,CSI 300,002709,天赐材料,"Guangzhou Tinci Materials Technology Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.335
20220831,000300,沪深300,CSI 300,002714,牧原股份,"Muyuan Foodstuff Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.817
20220831,000300,沪深300,CSI 300,601225,陕西煤业,Shaanxi Coal Industry Company Limited,上海证券交易所,Shanghai  Exchange,0.447
20220831,000300,沪深300,CSI 300,603288,海天味业,Foshan Haitian Flavouring and Food Company Ltd.,上海证券交易所,Shanghai  Exchange,0.586
