-------------------- starting training ---------------------
finishing episode #193; episode reward: 0.4630767186001469
finishing episode #194; episode reward: 0.6657011951739995
finishing episode #195; episode reward: 0.5836571736727234
finishing episode #196; episode reward: 0.5337782408598428
finishing episode #197; episode reward: 0.4852986198180467
finishing episode #198; episode reward: 0.43034458489918814
finishing episode #199; episode reward: 0.34809552014269685
finishing episode #200; episode reward: 0.6193201817771551
finishing episode #201; episode reward: 0.572526488139447
finishing episode #202; episode reward: 0.6263371683498361
finishing episode #203; episode reward: 0.3813190859516232
finishing episode #204; episode reward: 0.5709466482388431
finishing episode #205; episode reward: 0.6568475670448993
finishing episode #206; episode reward: 0.3364743905632581
finishing episode #207; episode reward: 0.2841790346288622
finishing episode #208; episode reward: 0.37075058665416394
finishing episode #209; episode reward: 0.4560022574028624
finishing episode #210; episode reward: 0.44973485108255684
finishing episode #211; episode reward: 0.4393906628194427
finishing episode #212; episode reward: 0.6120719750879369
finishing episode #213; episode reward: 0.6237821221998204
finishing episode #214; episode reward: 0.5946927595063771
finishing episode #215; episode reward: 0.589018276333958
finishing episode #216; episode reward: 0.5312743170877364
finishing episode #217; episode reward: 0.39768778272523
finishing episode #218; episode reward: 0.4746410325898962
finishing episode #219; episode reward: 0.6533490228512547
finishing episode #220; episode reward: 0.5074028416987822
finishing episode #221; episode reward: 0.5234306430287675
finishing episode #222; episode reward: 0.7131997925803809
finishing episode #223; episode reward: 0.5231516419766643
finishing episode #224; episode reward: 0.6695112707814983
finishing episode #225; episode reward: 0.5940475811291249
finishing episode #226; episode reward: 0.6731646338504389
finishing episode #227; episode reward: 0.619671918050761
finishing episode #228; episode reward: 0.4534381494727008
finishing episode #229; episode reward: 0.5153455919775314
finishing episode #230; episode reward: 0.501478623642541
finishing episode #231; episode reward: 0.548165132675697
finishing episode #232; episode reward: 0.5587375425973774
finishing episode #233; episode reward: 0.5650748859230345
finishing episode #234; episode reward: 0.5383225480599975
finishing episode #235; episode reward: 0.49900407166657734
finishing episode #236; episode reward: 0.5463884451220736
finishing episode #237; episode reward: 0.44122863507171295
finishing episode #238; episode reward: 0.5659996005579706
finishing episode #239; episode reward: 0.5715869730613922
finishing episode #240; episode reward: 0.5016479301188479
finishing episode #241; episode reward: 0.5662404124251845
finishing episode #242; episode reward: 0.5042473281566318
finishing episode #243; episode reward: 0.48154687208914515
finishing episode #244; episode reward: 0.43384504773148413
finishing episode #245; episode reward: 0.5968565707100174
finishing episode #246; episode reward: 0.5111009544362983
finishing episode #247; episode reward: 0.5988736789582331
finishing episode #248; episode reward: 0.6257774259342896
finishing episode #249; episode reward: 0.5130528966995213
finishing episode #250; episode reward: 0.5727049054409215
finishing episode #251; episode reward: 0.66954710629943
finishing episode #252; episode reward: 0.5627816425494688
finishing episode #253; episode reward: 0.5003139230395418
finishing episode #254; episode reward: 0.5971695522245187
finishing episode #255; episode reward: 0.5420197625967409
finishing episode #256; episode reward: 0.5828298807817722
finishing episode #257; episode reward: 0.5185521003955055
finishing episode #258; episode reward: 0.4827661186618465
finishing episode #259; episode reward: 0.5486423462025545
finishing episode #260; episode reward: 0.5789709690613121
finishing episode #261; episode reward: 0.5415145049613036
finishing episode #262; episode reward: 0.6642819766984502
finishing episode #263; episode reward: 0.5342343539187157
finishing episode #264; episode reward: 0.576601227502923
finishing episode #265; episode reward: 0.6481677048527786
finishing episode #266; episode reward: 0.582175406378907
finishing episode #267; episode reward: 0.6033623168852771
finishing episode #268; episode reward: 0.5615838337923529
finishing episode #269; episode reward: 0.676815948609985
finishing episode #270; episode reward: 0.5841918175797776
finishing episode #271; episode reward: 0.6135386327449658
finishing episode #272; episode reward: 0.6011484182511764
finishing episode #273; episode reward: 0.6504258249208702
finishing episode #274; episode reward: 0.6653593730764872
finishing episode #275; episode reward: 0.6063119302065925
finishing episode #276; episode reward: 0.5826201705012892
finishing episode #277; episode reward: 0.6037753665261628
finishing episode #278; episode reward: 0.6014297510371627
finishing episode #279; episode reward: 0.5930867563573581
finishing episode #280; episode reward: 0.6585764219239195
finishing episode #281; episode reward: 0.6026763912022949
finishing episode #282; episode reward: 0.619568885984835
finishing episode #283; episode reward: 0.6762464928370888
finishing episode #284; episode reward: 0.772956283508535
finishing episode #285; episode reward: 0.5645218365088831
finishing episode #286; episode reward: 0.6525125105140459
finishing episode #287; episode reward: 0.567337001903047
finishing episode #288; episode reward: 0.525649874545923
finishing episode #289; episode reward: 0.7654314327176237
finishing episode #290; episode reward: 0.6552213186150222
finishing episode #291; episode reward: 0.6617683650140432
finishing episode #292; episode reward: 0.6369888524678354
finishing episode #293; episode reward: 0.6507198272820192
finishing episode #294; episode reward: 0.6274562627062054
finishing episode #295; episode reward: 0.7155921387770938
finishing episode #296; episode reward: 0.6903803815839578
finishing episode #297; episode reward: 0.701519918284873
finishing episode #298; episode reward: 0.7715245478704627
finishing episode #299; episode reward: 0.6562882507910617
finishing episode #300; episode reward: 0.7935282724795165
finishing episode #301; episode reward: 0.6985591002505548
finishing episode #302; episode reward: 0.6981375406545127
finishing episode #303; episode reward: 0.7239972349307238
finishing episode #304; episode reward: 0.7405441337733695
finishing episode #305; episode reward: 0.7846753112417729
finishing episode #306; episode reward: 0.7057941470387538
finishing episode #307; episode reward: 0.7030300456610368
finishing episode #308; episode reward: 0.7078191747413267
finishing episode #309; episode reward: 0.6430874539132718
finishing episode #310; episode reward: 0.6477261030242571
finishing episode #311; episode reward: 0.7229676869859062
finishing episode #312; episode reward: 0.7782069366716611
finishing episode #313; episode reward: 0.7134056275908542
finishing episode #314; episode reward: 0.5943272167274881
finishing episode #315; episode reward: 0.6389305666545929
finishing episode #316; episode reward: 0.6047326976072067
finishing episode #317; episode reward: 0.7208625614344379
finishing episode #318; episode reward: 0.6497356447565249
finishing episode #319; episode reward: 0.5673735012746604
finishing episode #320; episode reward: 0.6259816834174429
finishing episode #321; episode reward: 0.6558816412394073
finishing episode #322; episode reward: 0.5788524002170211
finishing episode #323; episode reward: 0.5927502076281767
finishing episode #324; episode reward: 0.6353812478111768
finishing episode #325; episode reward: 0.6556769939188131
finishing episode #326; episode reward: 0.6001389594795034
finishing episode #327; episode reward: 0.5271821999703465
finishing episode #328; episode reward: 0.6570197403602036
finishing episode #329; episode reward: 0.6104245062890157
finishing episode #330; episode reward: 0.5368277055415922
finishing episode #331; episode reward: 0.5434307132596212
finishing episode #332; episode reward: 0.5685092245323159
finishing episode #333; episode reward: 0.6580929084588076
finishing episode #334; episode reward: 0.6252836269175848
finishing episode #335; episode reward: 0.5087505760989599
finishing episode #336; episode reward: 0.6332239768287801
finishing episode #337; episode reward: 0.6676260566681413
finishing episode #338; episode reward: 0.6204524905042799
finishing episode #339; episode reward: 0.685843685772748
finishing episode #340; episode reward: 0.6644157637772097
finishing episode #341; episode reward: 0.5148112794123061
